EXPORTED CROSS SECTION DATA
504 2 2
x coordinate
Electron Conc
3.9450000000e-02 3.8658560700e+06 
3.9460000000e-02 3.8659840052e+06 
3.9550000000e-02 3.8667936478e+06 
3.9560000000e-02 3.8669214504e+06 
3.9650000000e-02 3.8677303830e+06 
3.9660000000e-02 3.8678580529e+06 
3.9750000000e-02 3.8686662756e+06 
3.9760000000e-02 3.8687938108e+06 
3.9850000000e-02 3.8696013234e+06 
3.9860000000e-02 3.8697287259e+06 
3.9950000000e-02 3.8705355196e+06 
3.9960000000e-02 3.8706627865e+06 
4.0050000000e-02 3.8714688611e+06 
4.0060000000e-02 3.8715959933e+06 
4.0150000000e-02 3.8724013490e+06 
4.0160000000e-02 3.8725283465e+06 
4.0250000000e-02 3.8733329742e+06 
4.0260000000e-02 3.8734598349e+06 
4.0350000000e-02 3.8742637347e+06 
4.0360000000e-02 3.8743904597e+06 
4.0450000000e-02 3.8751936315e+06 
4.0460000000e-02 3.8753202199e+06 
4.0550000000e-02 3.8761226547e+06 
4.0560000000e-02 3.8762491063e+06 
4.0650000000e-02 3.8770508042e+06 
4.0660000000e-02 3.8771771181e+06 
4.0750000000e-02 3.8779780880e+06 
4.0760000000e-02 3.8781042642e+06 
4.0850000000e-02 3.8789044791e+06 
4.0860000000e-02 3.8790305176e+06 
4.0950000000e-02 3.8798299956e+06 
4.0960000000e-02 3.8799558953e+06 
4.1050000000e-02 3.8807546273e+06 
4.1060000000e-02 3.8808803873e+06 
4.1150000000e-02 3.8816783644e+06 
4.1160000000e-02 3.8818039857e+06 
4.1250000000e-02 3.8826012078e+06 
4.1260000000e-02 3.8827266884e+06 
4.1350000000e-02 3.8835231556e+06 
4.1360000000e-02 3.8836484963e+06 
4.1450000000e-02 3.8844442086e+06 
4.1460000000e-02 3.8845694086e+06 
4.1550000000e-02 3.8853643570e+06 
4.1560000000e-02 3.8854894162e+06 
4.1650000000e-02 3.8862835916e+06 
4.1660000000e-02 3.8864085091e+06 
4.1750000000e-02 3.8872019296e+06 
4.1760000000e-02 3.8873267063e+06 
4.1850000000e-02 3.8881193539e+06 
4.1860000000e-02 3.8882439868e+06 
4.1950000000e-02 3.8890358525e+06 
4.1960000000e-02 3.8891603437e+06 
4.2050000000e-02 3.8899514454e+06 
4.2060000000e-02 3.8900757928e+06 
4.2150000000e-02 3.8908661037e+06 
4.2160000000e-02 3.8909903082e+06 
4.2250000000e-02 3.8917798462e+06 
4.2260000000e-02 3.8919039059e+06 
4.2350000000e-02 3.8926926530e+06 
4.2360000000e-02 3.8928165700e+06 
4.2450000000e-02 3.8936045352e+06 
4.2460000000e-02 3.8937283063e+06 
4.2550000000e-02 3.8945154806e+06 
4.2560000000e-02 3.8946391070e+06 
4.2650000000e-02 3.8954254904e+06 
4.2660000000e-02 3.8955489719e+06 
4.2750000000e-02 3.8963345554e+06 
4.2760000000e-02 3.8964578901e+06 
4.2850000000e-02 3.8972426828e+06 
4.2860000000e-02 3.8973658716e+06 
4.2950000000e-02 3.8981498554e+06 
4.2960000000e-02 3.8982728975e+06 
4.3050000000e-02 3.8990560724e+06 
4.3060000000e-02 3.8991789676e+06 
4.3150000000e-02 3.8999613427e+06 
4.3160000000e-02 3.9000840910e+06 
4.3250000000e-02 3.9008656572e+06 
4.3260000000e-02 3.9009882577e+06 
4.3350000000e-02 3.9017690151e+06 
4.3360000000e-02 3.9018914667e+06 
4.3450000000e-02 3.9026713972e+06 
4.3460000000e-02 3.9027937000e+06 
4.3550000000e-02 3.9035728216e+06 
4.3560000000e-02 3.9036949766e+06 
4.3650000000e-02 3.9044732804e+06 
4.3660000000e-02 3.9045952854e+06 
4.3750000000e-02 3.9053727534e+06 
4.3760000000e-02 3.9054946086e+06 
4.3850000000e-02 3.9062712587e+06 
4.3860000000e-02 3.9063929641e+06 
4.3950000000e-02 3.9071687873e+06 
4.3960000000e-02 3.9072903428e+06 
4.4050000000e-02 3.9080653303e+06 
4.4060000000e-02 3.9081867348e+06 
4.4150000000e-02 3.9089608865e+06 
4.4160000000e-02 3.9090821391e+06 
4.4250000000e-02 3.9098554549e+06 
4.4260000000e-02 3.9099765557e+06 
4.4350000000e-02 3.9107490357e+06 
4.4360000000e-02 3.9108699856e+06 
4.4450000000e-02 3.9116416118e+06 
4.4460000000e-02 3.9117624087e+06 
4.4550000000e-02 3.9125331991e+06 
4.4560000000e-02 3.9126538432e+06 
4.4650000000e-02 3.9134237797e+06 
4.4660000000e-02 3.9135442709e+06 
