EXPORTED CROSS SECTION DATA
513 4 4
x coordinate
Electron QFL
Valence Band Energy
Conduction Band Energy
3.5720000000e-02 5.3043350280e-18 -1.4514869878e+00 -2.9004841581e-02 
3.5810000000e-02 5.3043350280e-18 -1.4507368343e+00 -2.8254688868e-02 
3.5820000000e-02 4.8683622859e-18 -1.4506759085e+00 -2.8193762711e-02 
3.5910000000e-02 1.0172697277e-17 -1.4499349862e+00 -2.7452845146e-02 
3.5920000000e-02 1.0172697277e-17 -1.4498748047e+00 -2.7392663877e-02 
3.6010000000e-02 -4.3597274203e-19 -1.4491429381e+00 -2.6660799697e-02 
3.6020000000e-02 -4.3597274203e-19 -1.4490834872e+00 -2.6601348735e-02 
3.6110000000e-02 1.5477032333e-17 -1.4483605008e+00 -2.5878360894e-02 
3.6120000000e-02 1.5695018703e-17 -1.4483017661e+00 -2.5819626020e-02 
3.6210000000e-02 1.5695018703e-17 -1.4475874842e+00 -2.5105341627e-02 
3.6220000000e-02 1.5913005075e-17 -1.4475294513e+00 -2.5047308981e-02 
3.6310000000e-02 7.9565025466e-18 -1.4468236984e+00 -2.4341559489e-02 
3.6320000000e-02 7.3025434332e-18 -1.4467663543e+00 -2.4284215537e-02 
3.6410000000e-02 9.9547109056e-18 -1.4460689825e+00 -2.3586836557e-02 
3.6420000000e-02 9.9547109056e-18 -1.4460123144e+00 -2.3530168106e-02 
3.6510000000e-02 4.6503759146e-18 -1.4453231390e+00 -2.2840999501e-02 
3.6520000000e-02 5.3043350280e-18 -1.4452671332e+00 -2.2784993694e-02 
3.6610000000e-02 7.9565025466e-18 -1.4445860247e+00 -2.2103879022e-02 
3.6620000000e-02 8.8284480276e-18 -1.4445306690e+00 -2.2048523310e-02 
3.6710000000e-02 1.1480615500e-17 -1.4438574519e+00 -2.1375310195e-02 
3.6720000000e-02 9.5187381658e-18 -1.4438027342e+00 -2.1320592329e-02 
3.6810000000e-02 6.8665706934e-18 -1.4431372791e+00 -2.0655131722e-02 
3.6820000000e-02 7.5205298046e-18 -1.4430831865e+00 -2.0601039754e-02 
3.6910000000e-02 1.5477032333e-17 -1.4424253271e+00 -1.9943186763e-02 
3.6920000000e-02 1.6348977817e-17 -1.4423718496e+00 -1.9889709037e-02 
3.7010000000e-02 -4.8683622859e-18 -1.4417214658e+00 -1.9239321913e-02 
3.7020000000e-02 -4.6503759146e-18 -1.4416685914e+00 -1.9186447057e-02 
3.7110000000e-02 3.3061266320e-18 -1.4410255261e+00 -1.8543387470e-02 
3.7120000000e-02 2.2161947766e-18 -1.4409732425e+00 -1.8491104373e-02 
3.7210000000e-02 -5.7403077700e-18 -1.4403373848e+00 -1.7855237596e-02 
3.7220000000e-02 -5.3043350280e-18 -1.4402856830e+00 -1.7803535444e-02 
